epoch,train_loss,val_loss,val_acc_top1,lr
1,0.7748,0.9279,0.6482,0.000100
2,0.5310,0.6896,0.7339,0.000100
3,0.5123,0.6380,0.7482,0.000099
4,0.4421,0.5613,0.7786,0.000098
5,0.4266,0.5488,0.7964,0.000098
6,0.3925,0.5598,0.7848,0.000096
7,0.4031,0.5709,0.7732,0.000095
8,0.3502,0.5187,0.7991,0.000094
9,0.3581,0.5280,0.8009,0.000092
10,0.3389,0.5619,0.7920,0.000090
11,0.3357,0.5150,0.7973,0.000089
12,0.3094,0.5727,0.7982,0.000086
13,0.3174,0.5223,0.8071,0.000084
14,0.2881,0.5475,0.7866,0.000082
15,0.2962,0.5302,0.8000,0.000079
16,0.2654,0.5996,0.7946,0.000077
17,0.2772,0.5446,0.8009,0.000074
18,0.2554,0.5663,0.7911,0.000071
19,0.2476,0.6164,0.7848,0.000068
20,0.2485,0.5775,0.7929,0.000065
21,0.2344,0.6245,0.7920,0.000062
22,0.2266,0.6250,0.8036,0.000059
23,0.2182,0.6402,0.7964,0.000056
24,0.2088,0.6261,0.7955,0.000053
25,0.2086,0.6100,0.8071,0.000050
26,0.1982,0.6520,0.7982,0.000047
27,0.1888,0.6226,0.8063,0.000044
28,0.1896,0.6432,0.8063,0.000041
29,0.1900,0.6025,0.8170,0.000038
30,0.1782,0.6020,0.8196,0.000035
31,0.1710,0.6224,0.8116,0.000032
32,0.1654,0.6240,0.8196,0.000029
33,0.1521,0.6559,0.8080,0.000026
34,0.1413,0.7229,0.7991,0.000023
35,0.1426,0.7038,0.8161,0.000021
36,0.1502,0.7037,0.8134,0.000018
37,0.1393,0.7084,0.8152,0.000016
38,0.1377,0.7002,0.8170,0.000014
39,0.1392,0.6746,0.8179,0.000011
40,0.1347,0.6793,0.8170,0.000010
41,0.1388,0.6769,0.8187,0.000008
42,0.1252,0.6780,0.8170,0.000006
43,0.1338,0.6789,0.8179,0.000005
44,0.1275,0.6758,0.8161,0.000004
45,0.1165,0.6787,0.8232,0.000002
46,0.1186,0.6794,0.8170,0.000002
47,0.1333,0.6783,0.8161,0.000001
48,0.1173,0.6780,0.8152,0.000000
49,0.1111,0.6786,0.8161,0.000000
50,0.1170,0.6786,0.8161,0.000000
